id	oldId	name	description
8578c6d6-652f-42cb-a8bb-02623c761c44	E001	Web Development	Building and maintaining websites
b4ef9ad7-bbe3-41be-a689-cb6e6f753d31	E002	CAD Design	Creating detailed 2D and 3D designs
6725ae55-6add-4f45-be20-aaed382c82a2	E003	Network Security	Protecting networks from threats
25a69b5f-5f1b-405a-901d-41e15631b7f2	E004	3D Animation	Creating animated 3D graphics
2c68f901-9521-4a66-8401-984a73dcc625	E005	Cloud Engineering	Designing and managing cloud systems
27022330-8d70-457e-81b2-2351c42970d5	E006	Software Development	Creating software applications
f354000f-1a77-4a8f-89d3-48bc13d368a0	E007	Data Analysis	Analyzing data to extract insights
5e64b4f3-9406-4f3a-92bc-d73f924b41a6	E008	Machine Learning	Developing algorithms that learn from data
a3ebd2b4-63e7-4de8-83f7-622c59de4386	E009	Project Management	Planning and executing projects
c48dc5a8-ed7a-4521-8888-f26d40ec7bb0	E010	Digital Marketing	Promoting products online